verse_id	version	heading_plain
13002001	KJV	Sons of Israel
13003001	KJV	House of David
13004001	KJV	Sons of Judah
13004023	KJV	Sons of Simeon
13005001	KJV	Sons of Reuben
13006001	KJV	Sons of Levi
13006048	KJV	Sons of Aaron
13007001	KJV	Sons of Issachar
13007005	KJV	Benjamin and Naphtali
13007013	KJV	Joseph's Family
13007029	KJV	Sons of Asher
13008001	KJV	Tribe of Benjamin
13008032	KJV	House of Saul
13009001	KJV	Inhabitants of Jerusalem
13009034	KJV	In Gibeon
13010001	KJV	From Saul to David
13011001	KJV	From Hebron to Jerusalem
13011009	KJV	David's Mighty Men
13013001	KJV	The Ark of the Lord is brought to Jerusalem
13013001	KJV	A Solemn Journey
13014001	KJV	Gifts from Tyre
13014002	KJV	David's Family
13014007	KJV	His Victories
13015001	KJV	The Ark of the Lord
13016006	KJV	Psalm of Praise
13017001	KJV	The House of the Lord
13018001	KJV	David's Conquests
13021001	KJV	A Cause of Trespass
13021017	KJV	An Altar unto the Lord
13022001	KJV	Plans for the Temple
13023001	KJV	Temple Appointments
13023001	KJV	Priests and Levites
13025001	KJV	Musicians and Singers
13026001	KJV	Officers and Judges
13027001	KJV	Overseers
13028001	KJV	David's Last Words
13029009	KJV	Gives Thanks to God
14002001	KJV	Building the Temple
14002016	KJV	Foreign Labour
14003001	KJV	The Temple Building
14004001	KJV	Temple Furniture
14005001	KJV	The Dedication
14006011	KJV	Solomon's Prayer
14007001	KJV	The Glory of the Lord
14007010	KJV	The Divine Covenant
14008001	KJV	Solomon's Reign
14009001	KJV	The Queen of Sheba
14009012	KJV	Solomon's Wealth
14009021	KJV	His Wisdom
14010001	KJV	The Kingdom of Judah
14010005	KJV	King Rehoboam
14010015	KJV	Revolt of Ten Tribes
14011001	KJV	Jerusalem the capital of Judah
14011001	KJV	Its Fortifications and Fenced Cities
14012001	KJV	Attacked by Egypt
14013001	KJV	Abijah's Reign
14014001	KJV	Asa
14015001	KJV	The Prophecy of Oded
14017001	KJV	Jehoshaphat
14018003	KJV	The Prophecy of Micaiah
14020004	KJV	Jehoshaphat's Prayer
14021001	KJV	Jehoram
14022001	KJV	Ahaziah
14022009	KJV	Athaliah
14024001	KJV	Joash
14025001	KJV	Amaziah
14026001	KJV	Uzziah
14027001	KJV	Jotham
14028001	KJV	Ahaz
14029001	KJV	Hezekiah
14029015	KJV	Cleansed the Temple
14030001	KJV	Renewed the Passover
14031004	KJV	Encouraged the People
14032001	KJV	Jerusalem Threatened
14032020	KJV	Jerusalem Delivered
14033001	KJV	Manasseh
14033020	KJV	Amon
14034001	KJV	Josiah
14034013	KJV	The Book of the Law Found
14034028	KJV	The Covenant Renewed
14035019	KJV	Death of Josiah
14036001	KJV	Under Egypt
14036004	KJV	Attacked by Babylon
14036016	KJV	The Captivity
14036021	KJV	The Return
15002001	KJV	Zerubbabel's Company
15003001	KJV	The Return to Jerusalem
15003007	KJV	Rebuilding the Temple
15004001	KJV	Work is Hindered
15005001	KJV	The Work Resumed
15006001	KJV	The King's Decree
15006015	KJV	The Feast of Dedication
15007001	KJV	Ezra
15007010	KJV	Letter of Authority
15008001	KJV	Ezra's Company
15008014	KJV	The Journey
15008020	KJV	Prayer on the Way
15008030	KJV	In Jerusalem
15008034	KJV	An Offering to God
15009001	KJV	Foreign Marriages
15010005	KJV	A Great Assembly
16002001	KJV	The King's Commission
16002011	KJV	Surveys Jerusalem
16002018	KJV	Meets Opposition
16003001	KJV	Specification of Work
16004001	KJV	Hostility to the Work
16004008	KJV	Nehemiah's Response
16005001	KJV	A Cry of the People
16006001	KJV	More Opposition
16006014	KJV	The Wall Finished
16007004	KJV	Register of the Exiles
16008001	KJV	A Great Assembly
16009004	KJV	The Confession
16009031	KJV	Sealing the Covenant
16010001	KJV	Those who sealed it
16010027	KJV	Special Obligations
16011001	KJV	Inhabitants of Jerusalem
16011019	KJV	In Other Cities
16012001	KJV	Zerubbabel's Company
16012026	KJV	At the Dedication
16013001	KJV	Nehemiah's Reforms
16013014	KJV	Keeping the Sabbath
17002001	KJV	Esther is Crowned
17003001	KJV	Haman's Plot
17005001	KJV	Esther's Request
17008001	KJV	Mordecai Honoured
17009019	KJV	The Feast of Purim
18001005	KJV	Job's Character
18001012	KJV	His Afflictions
18002010	KJV	His Friends
18004001	KJV	Eliphaz Speaks
18006001	KJV	Job's Answer
18008001	KJV	Bildad's Speech
18009001	KJV	Job's Reply
18011001	KJV	Zophar's Speech
18012001	KJV	Job's Reply
18015001	KJV	Eliphaz Speaks
18016001	KJV	Job's Reply
18018001	KJV	Bildad's Speech
18019001	KJV	Job's Reply
18020001	KJV	Zophar's Speech
18021001	KJV	Job's Reply
18022001	KJV	Eliphaz Speaks
18023001	KJV	Job's Reply
18025001	KJV	Bildad's Speech
18026001	KJV	Job's Reply
18032001	KJV	Elihu's Intrusion
18040002	KJV	Job's Reply
18040005	KJV	The Lord's Answer
18042001	KJV	Job's Reply
18042006	KJV	The Epilogue
19009001	KJV	א Aleph
19009002	KJV	ב Bet
19009004	KJV	ג Gimel
19009006	KJV	ה He
19009008	KJV	ו Waw
19009010	KJV	ז Zain
19009012	KJV	ח Het
19009014	KJV	ט Tet
19009016	KJV	י Yod
19009017	KJV	כ Kaph
19010001	KJV	ל Lamed
19010002	KJV	(מ Mem)
19010003	KJV	(נ Nun)
19010006	KJV	(ס Samek)
19010006	KJV	פ Pe
19010008	KJV	ע Ain
19010009	KJV	(צ Zade)
19010011	KJV	ק Qoph
19010013	KJV	ר Resh
19010014	KJV	ש Shin
19010016	KJV	ת Taw
19025001	KJV	א Aleph
19025002	KJV	ב Bet
19025002	KJV	ג Gimel
19025003	KJV	ד Dalet
19025004	KJV	ה He
19025005	KJV	(ו Waw)
19025005	KJV	ז Zain
19025006	KJV	ח Het
19025007	KJV	ט Tet
19025008	KJV	י Yod
19025009	KJV	כ Kaph
19025010	KJV	ל Lamed
19025011	KJV	מ Mem
19025012	KJV	נ Nun
19025013	KJV	ס Samek
19025014	KJV	ע Ain
19025015	KJV	פ Pe
19025016	KJV	צ Zade
19025017	KJV	(ק Qoph)
19025018	KJV	ר Resh
19025019	KJV	ש Shin
19025020	KJV	ת Taw
19034002	KJV	ג Gimel
19034003	KJV	ד Dalet
19034004	KJV	ה He
19034005	KJV	ז Zain
19034006	KJV	ח Het
19034007	KJV	ט Tet
19034008	KJV	י Yod
19034009	KJV	כ Kaph
19034010	KJV	ל Lamed
19034011	KJV	מ Mem
19034012	KJV	נ Nun
19034013	KJV	ס Samek
