verse_id	version
4003037	KJV
4003039	KJV
4003043	KJV
4004001	KJV
4004016	KJV
4004020	KJV
4004028	KJV
4004033	KJV
4004041	KJV
4004045	KJV
4005001	KJV
4005004	KJV
4005010	KJV
4005015	KJV
4005022	KJV
4005028	KJV
4006001	KJV
4006004	KJV
4006005	KJV
4006008	KJV
4006012	KJV
4006021	KJV
4006026	KJV
4007001	KJV
4007011	KJV
4007017	KJV
4007023	KJV
4007029	KJV
4007035	KJV
4007041	KJV
4007047	KJV
4007053	KJV
4007059	KJV
4007065	KJV
4007071	KJV
4007077	KJV
4007083	KJV
4007088	KJV
4008001	KJV
4008004	KJV
4008013	KJV
4008019	KJV
4008022	KJV
4009001	KJV
4009008	KJV
4009014	KJV
4010001	KJV
4010010	KJV
4010013	KJV
4010016	KJV
4010020	KJV
4010024	KJV
4010028	KJV
4010032	KJV
4010034	KJV
4011001	KJV
4011003	KJV
4011009	KJV
4011015	KJV
4011023	KJV
4011025	KJV
4011030	KJV
4012001	KJV
4012003	KJV
4012008	KJV
4012015	KJV
4013001	KJV
4013016	KJV
4013020	KJV
4013024	KJV
4013029	KJV
4014001	KJV
4014003	KJV
4014010	KJV
4014012	KJV
4014019	KJV
4014025	KJV
4014035	KJV
4014039	KJV
4015001	KJV
4015010	KJV
4015016	KJV
4015021	KJV
4015026	KJV
4015031	KJV
4015036	KJV
4016001	KJV
4016003	KJV
4016011	KJV
4016014	KJV
4016019	KJV
4016024	KJV
4016030	KJV
4016035	KJV
4016040	KJV
4017001	KJV
4017007	KJV
4017011	KJV
4018001	KJV
4018007	KJV
4018020	KJV
4018024	KJV
4019001	KJV
4019010	KJV
4019013	KJV
4019019	KJV
4020001	KJV
4020001	KJV
4020009	KJV
4020013	KJV
4020021	KJV
4021001	KJV
4021003	KJV
4021009	KJV
4021015	KJV
4021018	KJV
4021020	KJV
4021030	KJV
4021032	KJV
4022001	KJV
4022001	KJV
4022006	KJV
4022014	KJV
4022020	KJV
4022030	KJV
4022035	KJV
4022040	KJV
4023001	KJV
4023010	KJV
4023012	KJV
